id,name,address,governorate,latitude,longitude
1480,Pharmacie Inayet Baklouti,"Route Nationale Tunis - Ras Jedir, Ennasr, Ennasr",Sfax,34.943459,10.7445537
1448,صيدلية اللطايفة,"Route Nationale Sfax - Gafsa, Bir Ali Ben Khalifa",Sfax,34.7541218,10.1784247
1406,صيدلية الليل,"Route Nationale Tunis - Ras Jedir, Cité El Moez, Thyna",Sfax,34.6852024,10.7048046
1365,صيدلية الليل سلمى الفقي,"Route de Gremda, Ain Cheikh Rouhou, Ain Cheikh Rouhou",Sfax,34.7595716,10.7422666
1368,صيدلية الليل عبد الرزاق الرقيق,"Avenue du 14 Janvier 2011, Cité El Khairi",Sfax,34.7378625,10.7553742
1335,صيدلية الليل محمد لسعد القرقوري,"Avenue Habib Bourguiba, Merkez Becha, El Khiria",Sfax,34.7840812,10.7781581
1366,صيدلية الليل هادية الرياحي حرم الملولي,"Rue Chirazi, Cité El Maaref, El Bassatine",Sfax,34.750996,10.7614048
1037,صيدلية سمير السلامي,"Route de Gremda, Markaz Kammoun, Bouzaiane",Sfax,34.7744753,10.7292164
1405,صيدلية طينة,"Route Nationale Tunis - Ras Jedir, Sidi Abid",Sfax,34.6699658,10.694965
1422,صيدلية عمار,"Route de Teniour, Teniour",Sfax,34.8030207,10.7404774
1109,صيدلية الليل,سيدي بوزيد,Sidi Bouzid,35.0390207,9.4896996
1565,dhifaoui pharmacy,"Route Régionale RN 4 - RN 12, ڨاع المزود gaa al mezwed, El Ooueslatia Est",Siliana,35.8463411,9.5904361
1564,pharmacie de nuit,"Route Régionale RN 4 - RN 12, ڨاع المزود gaa al mezwed, El Ooueslatia Est",Siliana,35.8478699,9.5921211
1563,pharmacie de nuit,"Route Régionale RN 4 - RN 12, ڨاع المزود gaa al mezwed, El Ooueslatia Est",Siliana,35.8478699,9.5921211
1104,Douik,"Avenue Habib Thameur, Sousse",Sousse,35.8261143,10.6409936
1314,Espace Santé Enfidha,"Route de Zaghouan, Enfidha",Sousse,36.1349481,10.3756223
1152,Jaidane Mourad,سوسة,Sousse,35.9373659,10.5557446
1064,Les Jasmins,"Boulevard du 14 Janvier 2011, Sousse",Sousse,35.8545487,10.6160134
1315,Pharmacie Boussetta,"RR133, Enfidha",Sousse,36.1327806,10.377584
1149,Pharmacie Dalel Ksia Knani,Rue Khalifa El Karoui,Sousse,35.8393017,10.6054766
1121,pharmacie de nuit,"Avenue Mohamed Karoui, Sousse",Sousse,35.8332528,10.6270961
1571,Pharmacie de nuit,الطريق الوطنية تونس - رأس جدير,Sousse,35.8472389,10.6106755
1570,Pharmacie de nuit,"Rue de la Luminosité, Sousse",Sousse,35.8407861,10.5989254
1150,Pharmacie Driss,Avenue Khalifa El Karoui 73243540,Sousse,35.842617,10.599558
1228,Pharmacie Ferjani,"Boulevard Hédi Chaker, Sousse",Sousse,35.8583977,10.5933574
1099,Pharmacie Zaoui,"Avenue de la République, Sousse",Sousse,35.8311156,10.6331577
1102,صيدلية الليل,"Avenue du 15 Octobre 1963, Sousse",Sousse,35.8141307,10.6300716
1100,صيدلية الليل,"Avenue de la République, Sousse",Sousse,35.8315727,10.6323676
1154,صيدلية الليل,"Route Nationale Sousse - Le Sers, Cité Riadh, El Ahd El Jadid",Sousse,35.7983299,10.6073441
1153,صيدلية الليل,"Route Nationale Tunis - Ras Jedir, Sousse",Sousse,35.85659,10.601279
1373,صيدلية الليل,"RL822, Zawia Sousse, Ksibet Sousse",Sousse,35.7744317,10.6254076
1105,صيدلية الليل,"Route Nationale Tunis - Ras Jedir, Messadine, El Messaadine",Sousse,35.7577724,10.599827
1103,صيدلية بوستا,سوسة,Sousse,35.8293499,10.6409739
1220,صيدلية حشيشة,"Rue Farhat Hached, Msaken, Ettouara Sud",Sousse,35.7272592,10.5807675
1101,صيدلية زروق,سوسة,Sousse,35.8302583,10.6364078
1075,صيدلية سلامي,النفيضة,Sousse,36.1349923,10.3803828
1313,صيدلية عماد يوسف,النفيضة,Sousse,36.1365634,10.3827969
1309,صيدلية الليل,"Avenue Farhat Hached, Masghouna",Tozeur,33.921398,8.1296696
1139,Ayachi,Rue Farhat Hached,Tunis,36.7636558,10.2460136
1078,Bahri Khaled,"Avenue Mohamed Melki, Franceville, Tunis",Tunis,36.8181389,10.1679264
1351,Bouzouita,"Avenue du Sahel, Farhat Hached, Tunis",Tunis,36.7747978,10.1786428
1222,cherif,Ben Arous,Tunis,36.7587067,10.2243851
1116,Harzallah Inès Ep Louati,تونس,Tunis,36.8605508,10.2735106
1506,Helyna parapharmacie,"Avenue Khaled Ibn El Walid, Taieb Mhiri, Tunis",Tunis,36.8554678,10.2626286
1231,Orthomed Santé,"Rue Cheikh Mohamed Enneifer, Sidi Fredj, El Aouina",Tunis,36.8632451,10.2763907
1489,Paraphapmacie Label Médical,"Avenue Haroun Errachid, Notre Dame, Tunis",Tunis,36.8366364,10.1687385
1488,Parapharmacie Zen Para,"Avenue Haroun Errachid, Notre Dame, Tunis",Tunis,36.8372117,10.1698563
1469,Pharmacie Abdennadher,"Rue El Moez, El Menzah 4, Tunis",Tunis,36.8358982,10.1791724
1350,Pharmacie Asaad,"Rue Bab Souika, El Hafsia, Tunis",Tunis,36.8037608,10.1728318
1344,Pharmacie Bab al Assal,"Boulevard Béchir Sfar, Bab El Assel, Tunis",Tunis,36.8127465,10.1699778
1115,Pharmacie Bayoudh,"résidence Elyes, Dar Fadhal",Tunis,36.8639521,10.2527141
1156,Pharmacie Bel Hadj Yahya,"RL460, Cite El Izdihar, Tunis",Tunis,36.7724775,10.1858509
1574,Pharmacie Ben Debba,نهج جندوبة,Tunis,36.7764342,10.2312495
1525,Pharmacie campus,"Rue Hbib Chatti, El Manar 1, Tunis",Tunis,36.8352484,10.1502914
1354,Pharmacie Centrale,"Rue du Caire, Habib Thameur, Tunis",Tunis,36.8028513,10.1827555
1070,Pharmacie Centre Kobbi,"Avenue Abderrahmen Khabthani, El Izdihar, Ariana",Tunis,36.8496358,10.1825921
1230,Pharmacie Darghouth,"Avenue Khaled Ibn El Walid, Sidi Fredj, Tunis",Tunis,36.8617705,10.276752
1524,Pharmacie Darmoul,"Rue de Erriadh, Erriadh, Tunis",Tunis,36.8416417,10.3164507
1284,PHARMACIE DE LA BOURSE,"Avenue de la Bourse, Les Berges du Lac II, Tunis",Tunis,36.8481732,10.2710158
1246,Pharmacie de la KABBAREYA,"Rue du Marché Kabbaria, El Kabaria (1), Tunis",Tunis,36.7596038,10.1909384
1497,Pharmacie de Nuit,Avenue Khaled Ibn El Walid 92,Tunis,36.8611927,10.2751134
1281,Pharmacie Drira Othman,"Rue d'Angleterre, Bab El Bhar, Tunis",Tunis,36.7960185,10.1779445
1287,Pharmacie du Parc,"Avenue de Londres, Sidi El Bahri, Tunis",Tunis,36.8058989,10.1773572
1212,Pharmacie El Mahrajène,"Rue Badi Azzamane, Mutuelleville, Tunis",Tunis,36.8297221,10.1793862
1355,Pharmacie Faiza,"Rue Lucie Faure, Mongi Slim, Tunis",Tunis,36.8039956,10.1805642
1285,Pharmacie FARAH Slim,"Rue de l'Ile de Failaka, Cité des Pins, Tunis",Tunis,36.845328,10.2840432
1074,Pharmacie Kamoun Soukra,"Avenue de l'Union du Maghreb Arabe, Borj Louzir",Tunis,36.8665756,10.2212614
1045,Pharmacie la Poste,"Avenue Habib Bourguiba, Mégrine",Tunis,36.7689238,10.2364624
1552,Pharmacie La Soukrea,"RL 544 طم, Dar Fadhal, Soukra",Tunis,36.8623968,10.2543586
1265,Pharmacie Ladhari Samira,"Avenue Habib Bourguiba, Lac De Tunis, Tunis",Tunis,36.8001831,10.1893843
1068,Pharmacie Lamia Largueche,"Rue Mahmoud Bayrem Ettounsi, Khaznadar, Tunis",Tunis,36.8069549,10.1344806
1069,Pharmacie Majed Turki,"Avenue du 20 Mars 1956, Bouchoucha, Tunis",Tunis,36.807945,10.139313
1549,Pharmacie Masmoudi,"Rue Ahmed Snoussi, El Menzah 1, Tunis",Tunis,36.8487987,10.1990582
1551,PHARMACIE MENDES FRANCE,"Rue du 1er Juin 1955, Mutuelleville, Tunis",Tunis,36.8311843,10.1726005
1482,Pharmacie Moalla,"Avenue Taïeb Mhiri, Hedi Chaker, Tunis",Tunis,36.8128002,10.1746844
1097,Pharmacie Naimi,"Avenue Farhat Hached, Ben Arous Ouest",Tunis,36.7442222,10.2245764
1240,Pharmacie Najet Hamouda Ep Binous,تونس,Tunis,36.8526361,10.2577644
1223,Pharmacie Najjar,"Rue Tarek Ibn Zied, Le Jasmin, Tunis",Tunis,36.8466666,10.3121959
1280,Pharmacie Ouahchi Mohamed,"Avenue de Carthage, Lac De Tunis, Tunis",Tunis,36.7961504,10.1817687
1550,Pharmacie Pasteur,"Rue Ahmed Snoussi, El Menzah 1, Tunis",Tunis,36.8488459,10.1990844
1481,Pharmacie Radhi Darghouth,"Rue d'Oman, Hedi Chaker, Tunis",Tunis,36.8113322,10.1768947
1463,Pharmacie ROFAIDA Moadeb,"Rue Ammar Ibn Yasser, El Menzah 6, El Menzah 6",Tunis,36.84986,10.1651163
1232,Pharmacie Taieb,"Rue Slaheddine Bouchoucha, Amilcar, Tunis",Tunis,36.8710097,10.337448
1241,Pharmacie Zied Ammar,"Avenue d'Égypte, Sidi Fredj, Tunis",Tunis,36.8642725,10.2903017
1486,Société Sincer,"4 Rue Marrakech, Ettaamir I, Ariana",Tunis,36.8588163,10.1941752
1526,Zoom parapharmacie,شارع آلان سافاري 24,Tunis,36.8266631,10.183228
1034,الصيدلية المركزية,تونس,Tunis,36.8334563,10.1809179
1468,بارافرماسي,تونس,Tunis,36.8367935,10.1949974
1043,حكموني,"Avenue Habib Bourguiba, Mégrine",Tunis,36.7697422,10.2325657
1081,صيدلة سامية جازي,"Rue du Lac Victoria, Les Berges du Lac, Tunis",Tunis,36.8394356,10.2441444
1071,صيدلية البحيرة,"Rue du Lac Turkana, Les Berges du Lac, Tunis",Tunis,36.8331482,10.2375408
1573,صيدلية الطيب حدادة,"Rue de Médine, Jawhara",Tunis,36.7787998,10.2307684
1342,صيدلية الليل,"Rue des Métaux, Borj Louzir",Tunis,36.8632052,10.2155422
1239,صيدلية الليل,"Avenue Fattouma Bourguiba, Dar Fadhal, Tunis",Tunis,36.876912,10.2678615
1085,صيدلية الليل,شارع ابن الخطيب,Tunis,36.8247427,10.1395628
1044,صيدلية الليل,"Avenue Habib Bourguiba, Mégrine",Tunis,36.7699674,10.2331504
1062,صيدلية الليل,"RL 451 طم, El Manar, Tunis",Tunis,36.8424613,10.1659011
1079,صيدلية الليل,"Rue Paul Ducroquet, Franceville, Tunis",Tunis,36.8116847,10.165531
1063,صيدلية المعالج,"Rue Alain Savary, Les Jardins, Tunis",Tunis,36.8222055,10.1795921
1165,صيدلية الواحات,شارع خالد بن الوليد,Tunis,36.8576752,10.2669677
1065,صيدلية زوايدي حسين,"Avenue Habib Thameur, Bardo, Tunis",Tunis,36.8093066,10.137049
1193,صيدلية شكري شببة,نهج 8300,Tunis,36.8196445,10.1905602
1487,صيدلية قرزة,"Avenue Med Salah Belhaj, Ettaamir I, Ariana Ville",Tunis,36.8605829,10.1876679
1067,صيدلية لطيفة الباسطي حرم يوسفي,شارع فطومة بورقيبة 1bis,Tunis,36.8127938,10.1365236
1060,صيدلية نبيل قريعة,"Rue d'Oran, El Medina El Fadhla",Tunis,36.8903357,10.1653908
1290,ميغا فارم,"Rue de l'Énergie, Ech-Charguia, Tunis",Tunis,36.8473335,10.2040882
1470,Pharmacie D.Chourou,"RR133, Zaghouan Ville",Zaghouan,36.4001551,10.1487198
1083,Pharmacie du jour,"Avenue Habib Bourguiba, Hammam Ezzriba Sud",Zaghouan,36.3519141,10.2086858
1505,منذر,"Avenue Habib Bourguiba, Hammam Zriba",Zaghouan,36.3511227,10.2075066
